ETUNIMI;YHTEENSÄ
Riitta-Liisa;1833
Isabel;1814
Elin;1786
Lyyli;1780
Inger;1777
Patricia;1773
Minja;1771
Melina;1764
Sofie;1758
Susan;1739
Karolina;1732
Siviä;1719
Lena;1715
Marja-Terttu;1706
Anna-Kaisa;1698
Elsi;1695
Lilian;1690
Moona;1690
Säde;1683
Henrietta;1681
Kerstin;1680
Kia;1665
Miina;1657
Mirella;1651
Mariia;1648
Maisa;1646
Harriet;1640
Frida;1638
Rakel;1632
Charlotte;1632
Sointu;1626
Adalmiina;1624
Janna;1616
Titta;1603
Marleena;1600
Viktoria;1597
Aura;1594
Tuovi;1586
Valpuri;1585
Pirita;1582
Saima;1576
Kaisla;1540
Mette;1529
Ingegerd;1528
Raisa;1525
Jasmine;1517
Else;1514
Helene;1507
Tilda;1497
Stina;1487
Annette;1484
Jasmiina;1472
Selina;1470
Greta;1459
Ira;1447
Ursula;1444
Mariitta;1441
Kirsi-Marja;1438
Berit;1437
Iisa;1409
Wilhelmina;1401
Rebecca;1401
Miisa;1398
Leea;1395
Tia;1394
Anna-Mari;1389
Martina;1389
Pilvi;1383
Vivian;1380
Ninni;1378
Elvira;1377
Marja-Riitta;1373
Benita;1366
Veronica;1361
Terhikki;1360
Hely;1354
Helen;1354
Taika;1351
Agneta;1341
Kanerva;1333
Amelia;1330
Yvonne;1311
Mailis;1310
Ann-Mari;1307
Barbro;1300
Hanna-Leena;1294
Kiira;1290
Hanna-Mari;1267
Bertta;1267
Anna-Leena;1265
Maj-Britt;1261
Beatrice;1260
Justiina;1257
Iines;1252
Henni;1250
Raila;1245
Seela;1245
Kaarin;1240
Valma;1240
Liisi;1239
Lumia;1237
Siru;1234
Eleonoora;1233
Anne-Maria;1233
Siv;1232
Henrika;1229
Magdalena;1222
Eleonora;1208
Fredrika;1207
Janica;1199
Erin;1196
Elle;1191
Lovisa;1184
Tina;1175
Malin;1172
Diana;1165
Edit;1159
Mea;1150
Anne-Marie;1143
Pirkko-Liisa;1140
Gunvor;1138
Thi;1133
Ann;1111
Sarita;1107
Sohvi;1106
